Delay,Size,Concurrency,Average Latency (s),Requests/sec
600,1000,100,0.6058,181.0578
600,1000,200,0.6065,328.7331
600,1000,300,0.6094,490.0392
600,1000,400,0.6132,645.0944
600,1000,500,0.6166,796.3728
600,1000,600,0.6284,926.2600
600,1000,700,0.6357,1053.4079
600,1000,800,0.6471,1181.2041
600,1000,900,0.6508,1318.2345
600,1000,1000,0.6527,1463.9812
600,1000,1100,0.6690,1561.2772
600,1000,1200,0.6853,1670.1159
600,1000,1300,0.6658,1879.5305
600,1000,1400,0.6620,2034.0764
600,1000,1500,0.6564,2187.7822
700,0,100,0.7012,173.6609
700,0,200,0.7017,284.8292
700,0,300,0.7020,426.8570
700,0,400,0.7028,568.1830
700,0,500,0.7040,709.0399
700,0,600,0.7037,848.3181
700,0,700,0.7051,989.0749
700,0,800,0.7053,1130.3862
700,0,900,0.7058,1269.1999
700,0,1000,0.7097,1399.4662
700,0,1100,0.7104,1535.9472
700,0,1200,0.7096,1677.4362
700,0,1300,0.7142,1803.5316
700,0,1400,0.7129,1939.1437
700,0,1500,0.7190,2065.0017
700,500,100,0.7047,174.8814
700,500,200,0.7052,282.9078
700,500,300,0.7068,422.2816
700,500,400,0.7108,558.0368
700,500,500,0.7111,696.6362
700,500,600,0.7173,821.6795
700,500,700,0.7227,948.4286
700,500,800,0.7254,1073.6960
700,500,900,0.7301,1193.1552
700,500,1000,0.7524,1287.7117
700,500,1100,0.7562,1409.8101
700,500,1200,0.7534,1535.7042
700,500,1300,0.7524,1656.0814
700,500,1400,0.7441,1816.4381
700,500,1500,0.7565,1928.8430
700,1000,100,0.7063,162.1874
700,1000,200,0.7086,281.3001
700,1000,300,0.7111,418.9352
700,1000,400,0.7160,551.4905
700,1000,500,0.7237,676.8502
700,1000,600,0.7246,810.8226
700,1000,700,0.7303,934.6038
700,1000,800,0.7404,1042.7365
700,1000,900,0.7491,1152.3476
700,1000,1000,0.7605,1266.1396
700,1000,1100,0.7442,1432.8949
700,1000,1200,0.7302,1606.8803
700,1000,1300,0.7608,1630.8859
700,1000,1400,0.7499,1825.2498
700,1000,1500,0.7784,1838.0551
800,0,100,0.8015,131.1892
800,0,200,0.8017,249.4042
800,0,300,0.8020,373.9431
800,0,400,0.8022,498.1210
800,0,500,0.8025,622.2246
800,0,600,0.8035,744.6643
800,0,700,0.8045,865.8738
800,0,800,0.8065,987.3708
800,0,900,0.8059,1111.0448
800,0,1000,0.8070,1230.2427
800,0,1100,0.8107,1345.8002
800,0,1200,0.8100,1471.4365
800,0,1300,0.8118,1589.5136
800,0,1400,0.8167,1700.4217
800,0,1500,0.8181,1804.6739
800,500,100,0.8037,157.1012
800,500,200,0.8045,248.0507
800,500,300,0.8062,371.0708
800,500,400,0.8071,493.4663
800,500,500,0.8104,611.9028
800,500,600,0.8124,729.9043
800,500,700,0.8178,841.4190
800,500,800,0.8196,955.1429
800,500,900,0.8282,1059.5626
800,500,1000,0.8420,1161.8395
800,500,1100,0.8462,1258.7675
800,500,1200,0.8502,1369.3545
800,500,1300,0.8416,1495.4028
800,500,1400,0.8380,1636.8694
800,500,1500,0.8798,1657.7197
800,1000,100,0.8058,156.7775
800,1000,200,0.8069,247.5436
800,1000,300,0.8088,369.1899
800,1000,400,0.8121,488.1365
800,1000,500,0.8161,605.2801
800,1000,600,0.8271,708.0759
800,1000,700,0.8356,814.2441
800,1000,800,0.8318,939.4383
800,1000,900,0.8396,1044.5849
800,1000,1000,0.8567,1129.2846
800,1000,1100,0.8675,1221.6108
800,1000,1200,0.8654,1337.5406
800,1000,1300,0.8862,1408.7199
800,1000,1400,0.8609,1577.0919
800,1000,1500,0.8769,1634.2955
900,0,100,0.9016,116.6649
900,0,200,0.9017,221.7546
900,0,300,0.9019,332.5615
900,0,400,0.9027,442.5884
900,0,500,0.9027,553.0130
900,0,600,0.9045,661.3029
900,0,700,0.9043,772.5524
900,0,800,0.9060,880.2748
900,0,900,0.9079,988.5288
900,0,1000,0.9066,1097.8129
900,0,1100,0.9093,1202.3041
900,0,1200,0.9098,1311.0536
900,0,1300,0.9109,1416.0651
900,0,1400,0.9154,1515.9308
900,0,1500,0.9186,1618.8088
900,500,100,0.9045,139.6632
900,500,200,0.9050,220.6313
900,500,300,0.9062,330.1671
900,500,400,0.9090,437.9779
900,500,500,0.9121,543.8023
900,500,600,0.9172,645.7735
900,500,700,0.9224,745.6143
900,500,800,0.9193,854.0239
900,500,900,0.9281,945.9755
900,500,1000,0.9366,1040.1578
900,500,1100,0.9547,1120.8268
900,500,1200,0.9440,1230.9204
900,500,1300,0.9611,1321.7989
900,500,1400,0.9546,1415.4667
900,500,1500,0.9497,1535.9532
900,1000,100,0.9057,119.9039
900,1000,200,0.9067,220.0394
900,1000,300,0.9093,328.6328
900,1000,400,0.9119,434.7255
900,1000,500,0.9176,538.7179
900,1000,600,0.9295,632.6602
900,1000,700,0.9320,732.5166
900,1000,800,0.9400,829.7818
900,1000,900,0.9439,924.3523
900,1000,1000,0.9585,1014.6518
900,1000,1100,0.9272,1171.1242
900,1000,1200,0.9611,1218.9217
900,1000,1300,0.9559,1333.9471
900,1000,1400,0.9679,1413.0690
900,1000,1500,1.0215,1415.6397
1000,0,100,1.0015,126.2022
1000,0,200,1.0018,199.6159
1000,0,300,1.0021,299.1247
1000,0,400,1.0021,398.7668
1000,0,500,1.0032,497.7044
1000,0,600,1.0038,595.9903
1000,0,700,1.0038,695.3437
1000,0,800,1.0077,790.6870
1000,0,900,1.0063,891.6755
1000,0,1000,1.0053,990.2520
1000,0,1100,1.0099,1080.3264
1000,0,1200,1.0078,1183.3464
1000,0,1300,1.0097,1278.9031
1000,0,1400,1.0122,1367.7596
1000,0,1500,1.0157,1459.3116
1000,500,100,1.0040,132.4911
1000,500,200,1.0049,198.7892
1000,500,300,1.0059,297.6674
1000,500,400,1.0085,395.3007
1000,500,500,1.0103,491.7664
1000,500,600,1.0123,588.4525
1000,500,700,1.0217,675.8005
1000,500,800,1.0266,764.5045
1000,500,900,1.0405,846.1736
1000,500,1000,1.0283,951.0216
1000,500,1100,1.0450,1024.9481
1000,500,1200,1.0496,1114.9878
1000,500,1300,1.0405,1228.4716
1000,500,1400,1.0406,1313.5641
1000,500,1500,1.0517,1380.8018
1000,1000,100,1.0060,121.0802
1000,1000,200,1.0067,198.2127
1000,1000,300,1.0087,296.2798
1000,1000,400,1.0129,392.3216
1000,1000,500,1.0153,487.6608
1000,1000,600,1.0237,576.7359
1000,1000,700,1.0387,658.0826
1000,1000,800,1.0462,747.8560
1000,1000,900,1.0408,839.5994
1000,1000,1000,1.0471,924.7499
1000,1000,1100,1.0800,995.0266
1000,1000,1200,1.0610,1105.3089
1000,1000,1300,1.0677,1184.8636
1000,1000,1400,1.0648,1287.4523
1000,1000,1500,1.0623,1369.6731
1100,0,100,1.1016,104.2649
1100,0,200,1.1015,181.5393
1100,0,300,1.1018,272.1607
1100,0,400,1.1033,362.2746
1100,0,500,1.1039,452.5248
1100,0,600,1.1034,542.3282
1100,0,700,1.1046,632.0648
1100,0,800,1.1041,722.5979
1100,0,900,1.1062,810.9008
1100,0,1000,1.1072,900.6089
1100,0,1100,1.1078,987.4681
1100,0,1200,1.1130,1072.7451
1100,0,1300,1.1142,1156.2974
1100,0,1400,1.1151,1245.9161
1100,0,1500,1.1151,1334.9728
1100,500,100,1.1044,110.3681
1100,500,200,1.1052,180.7193
1100,500,300,1.1062,270.7217
1100,500,400,1.1076,359.8377
1100,500,500,1.1122,446.8086
1100,500,600,1.1130,535.0078
1100,500,700,1.1162,620.8097
1100,500,800,1.1272,698.1210
1100,500,900,1.1336,779.0694
1100,500,1000,1.1403,856.8233
1100,500,1100,1.1373,948.1308
1100,500,1200,1.1435,1026.0008
1100,500,1300,1.1671,1088.1764
1100,500,1400,1.1661,1173.8922
